timestamp,device,temperature_c,illuminance_lux,moisture_pct,conductivity_us_cm
2026-04-10 10:08:21,second,20.3,2097,15,217
2026-04-10 10:10:06,first,20.4,1847,11,263
2026-04-10 10:33:57,first,21.0,4058,11,264
2026-04-10 10:36:46,second,21.0,4322,15,214
2026-04-10 10:58:31,second,22.2,4341,15,210
2026-04-10 11:03:46,first,22.3,3008,12,258
2026-04-10 11:22:48,second,22.5,7200,15,206
2026-04-10 11:25:16,first,24.0,4527,12,251
2026-04-10 11:46:09,second,24.2,4264,15,205
2026-04-10 11:49:00,second,27.5,4285,16,192
2026-04-10 11:53:23,second,28.4,4247,16,193
2026-04-10 12:11:08,first,27.3,2710,11,237
2026-04-10 12:15:27,second,28.3,4220,16,204
2026-04-10 12:36:41,first,25.8,2758,11,247
2026-04-10 12:39:48,second,25.9,4273,16,204
2026-04-10 13:04:53,first,25.6,3069,11,248
2026-04-10 13:07:48,first,25.4,3053,12,252
2026-04-10 13:27:19,second,26.2,4410,15,206
2026-04-10 13:28:36,first,25.0,3036,12,256
2026-04-10 13:57:22,first,24.4,1772,12,261
2026-04-10 13:57:58,second,26.5,4505,15,208
2026-04-10 14:19:26,first,25.1,68981,12,259
2026-04-10 14:22:22,second,26.3,4481,15,210
2026-04-10 20:20:52,second,20.5,147,15,237
2026-04-10 20:25:07,first,20.6,126,11,279
2026-04-10 20:42:12,second,20.5,120,15,237
2026-04-10 20:45:11,second,20.2,120,15,238
2026-04-10 20:48:18,first,20.2,126,11,280
2026-04-10 21:08:54,first,20.0,151,11,281
2026-04-10 21:11:27,second,20.0,124,15,235
2026-04-10 21:32:52,first,19.8,124,11,284
2026-04-10 21:37:43,second,19.7,124,15,239
2026-04-10 22:01:20,second,19.6,149,15,236
2026-04-10 22:26:12,second,19.6,122,15,237
2026-04-10 22:28:54,first,19.5,96,12,282
2026-04-10 22:52:20,first,19.2,120,12,281
2026-04-10 22:55:26,first,19.2,101,12,283
2026-04-10 23:12:10,second,19.3,126,15,237
2026-04-10 23:15:16,first,19.2,101,12,281
2026-04-10 23:37:13,second,18.9,126,14,233
2026-04-10 23:40:16,first,18.9,124,11,282
2026-04-11 00:01:31,second,18.9,98,14,234
2026-04-11 00:05:40,first,18.6,124,11,284
2026-04-11 00:29:23,first,19.3,124,11,278
2026-04-11 00:30:08,second,19.1,126,14,230
2026-04-11 01:00:10,second,19.1,98,14,230
2026-04-11 01:17:05,second,18.4,124,14,233
2026-04-11 01:20:50,first,18.7,96,11,280
2026-04-11 01:45:07,first,18.5,96,11,281
2026-04-11 01:48:42,first,18.5,96,11,279
2026-04-11 01:50:01,second,18.4,75,14,230
2026-04-11 02:08:55,first,19.0,96,11,276
2026-04-11 02:13:19,second,18.7,120,14,228
2026-04-11 02:36:25,second,18.9,96,14,227
2026-04-11 02:39:14,first,19.2,122,11,275
2026-04-11 02:57:38,second,18.2,120,13,229
2026-04-11 02:59:28,first,18.3,122,11,280
2026-04-11 03:27:58,second,18.2,124,13,228
2026-04-11 03:46:35,second,18.4,124,14,225
2026-04-11 03:47:07,first,18.5,101,11,279
2026-04-11 04:14:22,first,19.0,101,11,274
2026-04-11 04:14:40,second,18.7,101,14,226
2026-04-11 04:44:57,first,18.1,101,11,277
2026-04-11 05:05:52,first,18.0,101,11,278
2026-04-11 05:07:31,second,17.9,96,13,226
2026-04-11 05:30:55,first,18.7,48,11,273
2026-04-11 05:34:15,first,18.7,126,11,274
2026-04-11 05:51:30,second,18.4,96,13,224
2026-04-11 05:58:00,second,18.4,96,13,220
2026-04-11 06:01:00,second,18.5,96,13,220
2026-04-11 06:17:40,first,18.7,126,11,272
2026-04-11 06:22:24,first,18.7,126,11,272
2026-04-11 06:43:59,first,18.1,98,11,274
2026-04-11 06:45:31,second,18.4,122,13,223
2026-04-11 07:08:46,second,17.8,172,13,223
2026-04-11 07:12:23,first,18.1,124,11,273
2026-04-11 07:32:15,second,17.9,233,13,221
2026-04-11 07:33:47,first,18.7,200,11,270
2026-04-11 07:59:40,second,18.4,269,13,221
2026-04-11 08:02:56,first,18.6,344,11,272
2026-04-11 08:23:20,second,18.0,540,13,220
2026-04-11 08:23:41,first,18.2,432,11,272
2026-04-11 08:48:56,first,18.2,1351,11,271
2026-04-11 08:49:26,second,18.0,2080,13,221
2026-04-11 09:15:04,second,19.2,3083,13,217
2026-04-11 09:18:38,second,19.4,4165,13,215
2026-04-11 09:19:06,first,19.2,2856,11,267
2026-04-11 09:38:41,first,20.3,2977,11,262
2026-04-11 09:44:17,first,20.4,3043,11,261
